date,open,high,low,close
2003-01-01,23756.0,23756.0,23730.0,23740.0
2003-01-02,23738.0,24016.0,23738.0,24010.0
2003-01-03,24010.0,24032.0,23916.0,23942.0
2003-01-06,23964.0,23972.0,23716.0,23830.0
2003-01-07,23862.0,24108.0,23850.0,24082.0
2003-01-08,24044.0,24078.0,23770.0,23806.0
2003-01-09,23778.0,23908.0,23768.0,23856.0
2003-01-10,23894.0,23996.0,23824.0,23848.0
2003-01-13,23816.0,23882.0,23750.0,23778.0
2003-01-14,23796.0,23822.0,23508.0,23624.0
2003-01-15,23626.0,23672.0,23566.0,23622.0
2003-01-16,23634.0,23656.0,23524.0,23570.0
2003-01-17,23568.0,23632.0,23494.0,23546.0
2003-01-20,23590.0,23664.0,23584.0,23600.0
2003-01-21,23632.0,23818.0,23608.0,23634.0
2003-01-22,23616.0,23700.0,23602.0,23664.0
2003-01-23,23690.0,23760.0,23528.0,23606.0
2003-01-24,23602.0,23632.0,23516.0,23556.0
2003-01-27,23570.0,23842.0,23508.0,23670.0
2003-01-28,23706.0,23788.0,23668.0,23732.0
2003-01-29,23710.0,23736.0,23580.0,23694.0
2003-01-30,23730.0,23896.0,23692.0,23802.0
2003-01-31,23794.0,24010.0,23780.0,23976.0
2003-02-03,23992.0,24170.0,23968.0,24050.0
2003-02-04,24070.0,24090.0,23928.0,23946.0
2003-02-05,23958.0,24066.0,23820.0,24004.0
2003-02-06,24044.0,24044.0,23922.0,23968.0
2003-02-07,23950.0,24076.0,23920.0,24052.0
2003-02-10,24110.0,24276.0,24058.0,24238.0
2003-02-11,24210.0,24338.0,24192.0,24192.0
2003-02-12,24222.0,24284.0,24106.0,24242.0
2003-02-13,24250.0,24250.0,24062.0,24124.0
2003-02-14,24066.0,24142.0,24036.0,24060.0
2003-02-17,24124.0,24148.0,24000.0,24026.0
2003-02-18,24030.0,24030.0,23742.0,23792.0
2003-02-19,23778.0,23828.0,23718.0,23740.0
2003-02-20,23774.0,23804.0,23620.0,23660.0
2003-02-21,23660.0,23770.0,23644.0,23738.0
2003-02-24,23686.0,23730.0,23520.0,23574.0
2003-02-25,23612.0,23618.0,23400.0,23456.0
2003-02-26,23480.0,23520.0,23408.0,23408.0
2003-02-27,23410.0,23542.0,23364.0,23518.0
2003-02-28,23548.0,23660.0,23522.0,23620.0
2003-03-03,23644.0,23662.0,23434.0,23506.0
2003-03-04,23518.0,23618.0,23488.0,23574.0
2003-03-05,23442.0,23514.0,23402.0,23454.0
2003-03-06,23454.0,23520.0,23436.0,23474.0
2003-03-07,23472.0,23500.0,23270.0,23412.0
2003-03-10,23402.0,23402.0,23284.0,23366.0
2003-03-11,23396.0,23464.0,23332.0,23420.0
2003-03-12,23430.0,23504.0,23410.0,23452.0
2003-03-13,23544.0,23748.0,23544.0,23730.0
2003-03-14,23698.0,23738.0,23608.0,23650.0
2003-03-17,23556.0,23740.0,23514.0,23708.0
2003-03-18,23734.0,23838.0,23686.0,23764.0
2003-03-19,23740.0,24122.0,23716.0,24092.0
2003-03-20,24042.0,24088.0,23944.0,24048.0
2003-03-21,24062.0,24378.0,24044.0,24290.0
2003-03-24,24238.0,24252.0,24070.0,24154.0
2003-03-25,24134.0,24138.0,23882.0,24028.0
2003-03-26,23990.0,24102.0,23966.0,23998.0
2003-03-27,24002.0,24010.0,23920.0,23990.0
2003-03-28,24018.0,24084.0,23890.0,23956.0
2003-03-31,23978.0,24030.0,23576.0,23614.0
2003-04-01,23594.0,23700.0,23572.0,23642.0
2003-04-02,23572.0,23850.0,23556.0,23780.0
2003-04-03,23784.0,23940.0,23706.0,23908.0
2003-04-04,23866.0,24040.0,23830.0,23988.0
2003-04-07,24060.0,24180.0,23982.0,23982.0
2003-04-08,23994.0,24030.0,23892.0,23944.0
2003-04-09,23952.0,24136.0,23940.0,24012.0
2003-04-10,24012.0,24060.0,23834.0,23940.0
2003-04-11,23934.0,24170.0,23904.0,24088.0
2003-04-14,24128.0,24162.0,24002.0,24066.0
2003-04-15,24066.0,24144.0,24000.0,24058.0
2003-04-16,24052.0,24110.0,23856.0,23906.0
2003-04-17,23906.0,23950.0,23788.0,23918.0
2003-04-18,23916.0,23976.0,23906.0,23956.0
2003-04-21,23916.0,24132.0,23904.0,24114.0
2003-04-22,24104.0,24108.0,23872.0,23982.0
2003-04-23,23982.0,24130.0,23952.0,24088.0
2003-04-24,24088.0,24140.0,23918.0,23990.0
2003-04-25,23984.0,24222.0,23938.0,24038.0
2003-04-28,24032.0,24102.0,23960.0,24098.0
2003-04-29,24096.0,24148.0,23936.0,23964.0
2003-04-30,23968.0,23996.0,23712.0,23786.0
2003-05-01,23782.0,23802.0,23632.0,23716.0
2003-05-02,23716.0,23862.0,23682.0,23808.0
2003-05-05,23802.0,23824.0,23684.0,23706.0
2003-05-06,23708.0,23758.0,23470.0,23508.0
2003-05-07,23508.0,23566.0,23230.0,23292.0
2003-05-08,23292.0,23444.0,23190.0,23426.0
2003-05-09,23426.0,23522.0,23406.0,23478.0
2003-05-12,23452.0,23458.0,23256.0,23394.0
2003-05-13,23394.0,23504.0,23262.0,23354.0
2003-05-14,23354.0,23374.0,23136.0,23254.0
2003-05-15,23254.0,23324.0,23074.0,23308.0
2003-05-16,23308.0,23320.0,23152.0,23212.0
2003-05-19,23112.0,23496.0,23016.0,23418.0
2003-05-20,23418.0,23476.0,23318.0,23330.0
2003-05-21,23330.0,23554.0,23306.0,23532.0
2003-05-22,23532.0,23558.0,23388.0,23446.0
2003-05-23,23446.0,23486.0,23352.0,23376.0
2003-05-26,23368.0,23484.0,23344.0,23374.0
2003-05-27,23374.0,23472.0,23246.0,23452.0
2003-05-28,23452.0,23790.0,23386.0,23732.0
2003-05-29,23732.0,23832.0,23582.0,23616.0
2003-05-30,23616.0,23932.0,23608.0,23846.0
2003-06-02,23928.0,23932.0,23664.0,23714.0
2003-06-03,23714.0,23868.0,23658.0,23826.0
2003-06-04,23826.0,23878.0,23676.0,23774.0
2003-06-05,23774.0,23788.0,23466.0,23526.0
2003-06-06,23526.0,23792.0,23512.0,23738.0
2003-06-09,23750.0,23760.0,23562.0,23636.0
2003-06-10,23636.0,23676.0,23514.0,23560.0
2003-06-11,23560.0,23636.0,23502.0,23552.0
2003-06-12,23552.0,23596.0,23500.0,23536.0
2003-06-13,23536.0,23582.0,23424.0,23460.0
2003-06-16,23474.0,23564.0,23434.0,23534.0
2003-06-17,23534.0,23686.0,23494.0,23622.0
2003-06-18,23622.0,23748.0,23550.0,23590.0
2003-06-19,23590.0,23818.0,23576.0,23682.0
2003-06-20,23682.0,23730.0,23604.0,23676.0
2003-06-23,23686.0,23726.0,23492.0,23566.0
2003-06-24,23566.0,23618.0,23514.0,23562.0
2003-06-25,23562.0,23632.0,23462.0,23594.0
2003-06-26,23594.0,23898.0,23584.0,23884.0
2003-06-27,23884.0,23998.0,23832.0,23940.0
2003-06-30,23946.0,24050.0,23912.0,23938.0
2003-07-01,23938.0,23994.0,23804.0,23872.0
2003-07-02,23872.0,23896.0,23584.0,23640.0
2003-07-03,23640.0,23722.0,23574.0,23636.0
2003-07-04,23636.0,23690.0,23580.0,23598.0
2003-07-07,23606.0,23670.0,23564.0,23618.0
2003-07-08,23618.0,23740.0,23526.0,23642.0
2003-07-09,23642.0,23690.0,23516.0,23568.0
2003-07-10,23568.0,23608.0,23478.0,23526.0
2003-07-11,23526.0,23606.0,23514.0,23578.0
2003-07-14,23560.0,23580.0,23468.0,23546.0
2003-07-15,23546.0,23612.0,23344.0,23588.0
2003-07-16,23594.0,23736.0,23556.0,23612.0
2003-07-17,23612.0,23784.0,23572.0,23744.0
2003-07-18,23742.0,23850.0,23646.0,23690.0
2003-07-21,23722.0,23760.0,23642.0,23692.0
2003-07-22,23692.0,23892.0,23684.0,23814.0
2003-07-23,23814.0,23828.0,23722.0,23756.0
2003-07-24,23756.0,23868.0,23710.0,23800.0
2003-07-25,23800.0,23866.0,23720.0,23738.0
2003-07-28,23798.0,23918.0,23770.0,23884.0
2003-07-29,23884.0,23990.0,23816.0,23982.0
2003-07-30,23982.0,24134.0,23924.0,24048.0
2003-07-31,24050.0,24132.0,23954.0,24110.0
2003-08-01,24110.0,24140.0,23962.0,24040.0
2003-08-04,24046.0,24128.0,23944.0,24064.0
2003-08-05,24064.0,24128.0,23950.0,23980.0
2003-08-06,23980.0,24096.0,23882.0,24054.0
2003-08-07,24054.0,24062.0,23764.0,23814.0
2003-08-08,23814.0,23854.0,23758.0,23812.0
2003-08-11,23826.0,23834.0,23640.0,23710.0
2003-08-12,23710.0,23758.0,23670.0,23732.0
2003-08-13,23732.0,23898.0,23700.0,23826.0
2003-08-14,23826.0,23936.0,23792.0,23816.0
2003-08-15,23816.0,23892.0,23756.0,23830.0
2003-08-18,23834.0,23948.0,23808.0,23894.0
2003-08-19,23894.0,23968.0,23650.0,23692.0
2003-08-20,23692.0,23768.0,23562.0,23612.0
2003-08-21,23612.0,23642.0,23504.0,23558.0
2003-08-22,23558.0,23622.0,23462.0,23492.0
2003-08-25,23510.0,23538.0,23428.0,23464.0
2003-08-26,23464.0,23566.0,23438.0,23472.0
2003-08-27,23476.0,23610.0,23452.0,23500.0
2003-08-28,23500.0,23528.0,23436.0,23474.0
2003-08-29,23474.0,23484.0,23234.0,23370.0
2003-09-01,23358.0,23366.0,23268.0,23324.0
2003-09-02,23324.0,23454.0,23174.0,23292.0
2003-09-03,23288.0,23322.0,23170.0,23186.0
2003-09-04,23186.0,23426.0,23156.0,23374.0
2003-09-05,23374.0,23426.0,23294.0,23354.0
2003-09-08,23514.0,23544.0,23276.0,23368.0
2003-09-09,23368.0,23390.0,23220.0,23370.0
2003-09-10,23362.0,23458.0,23322.0,23420.0
2003-09-11,23420.0,23576.0,23292.0,23430.0
2003-09-12,23430.0,23500.0,23354.0,23458.0
2003-09-15,23468.0,23534.0,23438.0,23488.0
2003-09-16,23488.0,23494.0,23202.0,23250.0
2003-09-17,23250.0,23302.0,23168.0,23218.0
2003-09-18,23218.0,23234.0,22952.0,23054.0
2003-09-19,23054.0,23104.0,22722.0,22784.0
2003-09-22,22494.0,22538.0,22282.0,22460.0
2003-09-23,22460.0,22478.0,22188.0,22476.0
2003-09-24,22476.0,22478.0,22250.0,22382.0
2003-09-25,22382.0,22476.0,22292.0,22430.0
2003-09-26,22430.0,22460.0,22312.0,22348.0
2003-09-29,22324.0,22352.0,22144.0,22154.0
2003-09-30,22154.0,22392.0,22024.0,22298.0
2003-10-01,22300.0,22308.0,22078.0,22118.0
2003-10-02,22118.0,22262.0,22108.0,22152.0
2003-10-03,22152.0,22212.0,22048.0,22176.0
2003-10-06,22198.0,22264.0,22152.0,22186.0
2003-10-07,22186.0,22226.0,21866.0,21980.0
2003-10-08,21980.0,22012.0,21880.0,21908.0
2003-10-09,21904.0,21922.0,21782.0,21816.0
2003-10-10,21810.0,21864.0,21656.0,21744.0
2003-10-13,21696.0,21808.0,21648.0,21780.0
2003-10-14,21778.0,22040.0,21736.0,21764.0
2003-10-15,21760.0,21956.0,21742.0,21926.0
2003-10-16,21924.0,22050.0,21842.0,21970.0
2003-10-17,21970.0,22010.0,21854.0,21864.0
2003-10-20,21760.0,22120.0,21756.0,22084.0
2003-10-21,22074.0,22086.0,21886.0,21906.0
2003-10-22,21908.0,21938.0,21768.0,21792.0
2003-10-23,21792.0,21964.0,21766.0,21898.0
2003-10-24,21902.0,21974.0,21808.0,21848.0
2003-10-27,21802.0,21810.0,21658.0,21692.0
2003-10-28,21692.0,21728.0,21632.0,21642.0
2003-10-29,21646.0,21682.0,21562.0,21642.0
2003-10-30,21644.0,21790.0,21592.0,21748.0
2003-10-31,21756.0,22048.0,21722.0,22006.0
2003-11-03,21948.0,22294.0,21942.0,22190.0
2003-11-04,22178.0,22186.0,21884.0,21930.0
2003-11-05,21930.0,22010.0,21896.0,21970.0
2003-11-06,21970.0,22062.0,21948.0,22032.0
2003-11-07,22034.0,22084.0,21810.0,21870.0
2003-11-10,21900.0,21928.0,21576.0,21772.0
2003-11-11,21772.0,21826.0,21688.0,21742.0
2003-11-12,21740.0,21840.0,21696.0,21758.0
2003-11-13,21754.0,21776.0,21608.0,21626.0
2003-11-14,21618.0,21712.0,21576.0,21616.0
2003-11-17,21674.0,21948.0,21646.0,21786.0
2003-11-18,21786.0,21822.0,21580.0,21606.0
2003-11-19,21612.0,21878.0,21522.0,21826.0
2003-11-20,21820.0,21836.0,21714.0,21796.0
2003-11-21,21788.0,21874.0,21726.0,21728.0
2003-11-24,21762.0,21904.0,21758.0,21854.0
2003-11-25,21860.0,22006.0,21850.0,21888.0
2003-11-26,21882.0,21954.0,21768.0,21822.0
2003-11-27,21830.0,21860.0,21778.0,21832.0
2003-11-28,21838.0,21940.0,21824.0,21922.0
2003-12-01,21956.0,22002.0,21810.0,21876.0
2003-12-02,21880.0,21962.0,21710.0,21736.0
2003-12-03,21734.0,21764.0,21606.0,21640.0
2003-12-04,21650.0,21694.0,21578.0,21642.0
2003-12-05,21648.0,21684.0,21468.0,21468.0
2003-12-08,21560.0,21570.0,21414.0,21478.0
2003-12-09,21476.0,21502.0,21364.0,21432.0
2003-12-10,21434.0,21742.0,21412.0,21676.0
2003-12-11,21678.0,21704.0,21572.0,21608.0
2003-12-12,21606.0,21618.0,21526.0,21566.0
2003-12-15,21658.0,21658.0,21480.0,21528.0
2003-12-16,21530.0,21572.0,21480.0,21516.0
2003-12-17,21514.0,21566.0,21440.0,21490.0
2003-12-18,21478.0,21616.0,21466.0,21526.0
2003-12-19,21518.0,21600.0,21498.0,21560.0
2003-12-22,21556.0,21596.0,21450.0,21510.0
2003-12-23,21508.0,21520.0,21452.0,21476.0
2003-12-24,21470.0,21514.0,21418.0,21484.0
2003-12-26,21448.0,21512.0,21380.0,21488.0
2003-12-29,21452.0,21484.0,21358.0,21404.0
2003-12-30,21404.0,21430.0,21370.0,21398.0
2003-12-31,21384.0,21540.0,21346.0,21470.0
2004-01-02,21462.0,21504.0,21368.0,21382.0
2004-01-05,21400.0,21464.0,21202.0,21248.0
2004-01-06,21250.0,21282.0,21214.0,21236.0
2004-01-07,21242.0,21290.0,21188.0,21248.0
2004-01-08,21250.0,21254.0,21212.0,21238.0
2004-01-09,21236.0,21634.0,21222.0,21364.0
2004-01-12,21330.0,21358.0,21258.0,21322.0
2004-01-13,21318.0,21336.0,21220.0,21252.0
2004-01-14,21262.0,21272.0,21182.0,21252.0
2004-01-15,21250.0,21294.0,21188.0,21258.0
2004-01-16,21256.0,21400.0,21144.0,21360.0
2004-01-19,21336.0,21498.0,21286.0,21446.0
2004-01-20,21458.0,21578.0,21362.0,21362.0
2004-01-21,21376.0,21456.0,21328.0,21378.0
2004-01-22,21374.0,21400.0,21170.0,21208.0
2004-01-23,21220.0,21376.0,21146.0,21336.0
2004-01-26,21286.0,21346.0,21160.0,21260.0
2004-01-27,21260.0,21280.0,21098.0,21134.0
2004-01-28,21134.0,21306.0,21084.0,21240.0
2004-01-29,21240.0,21284.0,21116.0,21188.0
2004-01-30,21188.0,21226.0,21104.0,21106.0
2004-02-02,21142.0,21154.0,21076.0,21116.0
2004-02-03,21116.0,21164.0,21058.0,21100.0
2004-02-04,21094.0,21130.0,21056.0,21092.0
2004-02-05,21080.0,21208.0,21076.0,21156.0
2004-02-06,21154.0,21358.0,21072.0,21098.0
2004-02-09,21182.0,21196.0,21102.0,21146.0
2004-02-10,21150.0,21178.0,21060.0,21120.0
2004-02-11,21120.0,21140.0,21032.0,21064.0
2004-02-12,21070.0,21110.0,21032.0,21072.0
2004-02-13,21068.0,21124.0,21036.0,21074.0
2004-02-16,21088.0,21114.0,21072.0,21090.0
2004-02-17,21092.0,21202.0,21086.0,21126.0
2004-02-18,21126.0,21414.0,21100.0,21326.0
2004-02-19,21334.0,21480.0,21266.0,21394.0
2004-02-20,21392.0,21862.0,21366.0,21814.0
2004-02-23,21780.0,21872.0,21618.0,21654.0
2004-02-24,21660.0,21750.0,21610.0,21638.0
2004-02-25,21648.0,21824.0,21608.0,21794.0
2004-02-26,21794.0,21962.0,21746.0,21900.0
2004-02-27,21904.0,21940.0,21780.0,21832.0
2004-03-01,21798.0,21884.0,21772.0,21800.0
2004-03-02,21802.0,22088.0,21774.0,22020.0
2004-03-03,22014.0,22102.0,22000.0,22024.0
2004-03-04,22008.0,22232.0,22004.0,22214.0
2004-03-05,22214.0,22456.0,22022.0,22428.0
2004-03-08,22434.0,22460.0,22222.0,22258.0
2004-03-09,22258.0,22322.0,22044.0,22288.0
2004-03-10,22288.0,22304.0,22138.0,22178.0
2004-03-11,22178.0,22214.0,22092.0,22170.0
2004-03-12,22168.0,22280.0,22116.0,22156.0
2004-03-15,22138.0,22212.0,21854.0,22074.0
2004-03-16,22074.0,22074.0,21714.0,21758.0
2004-03-17,21764.0,21792.0,21604.0,21638.0
2004-03-18,21638.0,21672.0,21294.0,21370.0
2004-03-19,21370.0,21462.0,21314.0,21342.0
2004-03-22,21374.0,21528.0,21334.0,21350.0
2004-03-23,21364.0,21394.0,21294.0,21342.0
2004-03-24,21340.0,21388.0,21206.0,21270.0
2004-03-25,21276.0,21292.0,21150.0,21224.0
2004-03-26,21224.0,21250.0,21110.0,21206.0
2004-03-29,21124.0,21186.0,21056.0,21104.0
2004-03-30,21110.0,21240.0,21078.0,21152.0
2004-03-31,21148.0,21184.0,20696.0,20852.0
2004-04-01,20842.0,20896.0,20696.0,20728.0
2004-04-02,20734.0,20992.0,20732.0,20898.0
2004-04-05,20878.0,21088.0,20828.0,21026.0
2004-04-06,21022.0,21426.0,20988.0,21140.0
2004-04-07,21096.0,21230.0,20984.0,21056.0
2004-04-08,21058.0,21288.0,21032.0,21254.0
2004-04-09,21256.0,21354.0,21196.0,21262.0
2004-04-12,21260.0,21290.0,21038.0,21086.0
2004-04-13,21098.0,21402.0,21010.0,21332.0
2004-04-14,21332.0,21800.0,21330.0,21734.0
2004-04-15,21734.0,21848.0,21608.0,21624.0
2004-04-16,21630.0,21776.0,21508.0,21568.0
2004-04-19,21544.0,21736.0,21526.0,21682.0
2004-04-20,21672.0,21774.0,21536.0,21766.0
2004-04-21,21766.0,21950.0,21720.0,21876.0
2004-04-22,21892.0,21984.0,21828.0,21882.0
2004-04-23,21880.0,21960.0,21726.0,21776.0
2004-04-26,21810.0,21862.0,21662.0,21738.0
2004-04-27,21738.0,21976.0,21674.0,21898.0
2004-04-28,21896.0,22042.0,21750.0,22012.0
2004-04-29,22012.0,22194.0,21912.0,21972.0
2004-04-30,21982.0,22126.0,21958.0,22096.0
2004-05-03,22084.0,22140.0,21962.0,22050.0
2004-05-04,22050.0,22122.0,21846.0,21874.0
2004-05-05,21874.0,21916.0,21660.0,21750.0
2004-05-06,21750.0,21984.0,21726.0,21972.0
2004-05-07,21976.0,22496.0,21930.0,22460.0
2004-05-10,22456.0,22830.0,22436.0,22782.0
2004-05-11,22782.0,22790.0,22572.0,22592.0
2004-05-12,22594.0,22698.0,22486.0,22578.0
2004-05-13,22592.0,22938.0,22568.0,22930.0
2004-05-14,22928.0,22994.0,22790.0,22852.0
2004-05-17,22836.0,22928.0,22612.0,22868.0
2004-05-18,22864.0,22942.0,22678.0,22846.0
2004-05-19,22838.0,22854.0,22492.0,22580.0
2004-05-20,22570.0,22778.0,22480.0,22524.0
2004-05-21,22520.0,22610.0,22350.0,22462.0
2004-05-24,22432.0,22608.0,22418.0,22586.0
2004-05-25,22586.0,22664.0,22328.0,22354.0
2004-05-26,22354.0,22398.0,22246.0,22340.0
2004-05-27,22346.0,22430.0,22144.0,22184.0
2004-05-28,22184.0,22218.0,21996.0,22046.0
2004-05-31,22060.0,22082.0,21806.0,21896.0
2004-06-01,21888.0,22148.0,21838.0,22098.0
2004-06-02,22094.0,22182.0,21964.0,22002.0
2004-06-03,22002.0,22306.0,21956.0,22208.0
2004-06-04,22210.0,22352.0,22072.0,22228.0
2004-06-07,22184.0,22206.0,21896.0,21922.0
2004-06-08,21922.0,22024.0,21894.0,21936.0
2004-06-09,21940.0,22116.0,21726.0,22062.0
2004-06-10,22064.0,22108.0,21830.0,21842.0
2004-06-11,21844.0,22094.0,21830.0,22024.0
2004-06-14,22082.0,22290.0,22010.0,22208.0
2004-06-15,22200.0,22274.0,21858.0,21888.0
2004-06-16,21890.0,22044.0,21842.0,21994.0
2004-06-17,21992.0,22040.0,21776.0,21904.0
2004-06-18,21906.0,21944.0,21708.0,21760.0
2004-06-21,21722.0,21786.0,21644.0,21786.0
2004-06-22,21792.0,21876.0,21672.0,21810.0
2004-06-23,21812.0,21840.0,21684.0,21698.0
2004-06-24,21694.0,21698.0,21402.0,21416.0
2004-06-25,21418.0,21594.0,21408.0,21512.0
2004-06-28,21490.0,21660.0,21484.0,21582.0
2004-06-29,21584.0,21748.0,21552.0,21644.0
2004-06-30,21648.0,21914.0,21632.0,21764.0
2004-07-01,21760.0,21774.0,21564.0,21680.0
2004-07-02,21682.0,21866.0,21610.0,21660.0
2004-07-05,21666.0,21834.0,21648.0,21826.0
2004-07-06,21828.0,21938.0,21768.0,21890.0
2004-07-07,21892.0,21900.0,21636.0,21728.0
2004-07-08,21724.0,21828.0,21676.0,21782.0
2004-07-09,21780.0,21786.0,21588.0,21632.0
2004-07-12,21572.0,21680.0,21510.0,21646.0
2004-07-13,21644.0,21878.0,21636.0,21714.0
2004-07-14,21718.0,21888.0,21676.0,21828.0
2004-07-15,21830.0,21992.0,21802.0,21960.0
2004-07-16,21962.0,22004.0,21710.0,21734.0
2004-07-19,21754.0,21764.0,21616.0,21642.0
2004-07-20,21648.0,21760.0,21618.0,21694.0
2004-07-21,21680.0,22058.0,21670.0,21952.0
2004-07-22,21954.0,21986.0,21852.0,21946.0
2004-07-23,21946.0,22050.0,21924.0,22032.0
2004-07-26,22030.0,22034.0,21884.0,21982.0
2004-07-27,21978.0,22234.0,21920.0,22178.0
2004-07-28,22174.0,22376.0,22158.0,22338.0
2004-07-29,22340.0,22492.0,22294.0,22404.0
2004-07-30,22404.0,22438.0,22216.0,22266.0
2004-08-02,22212.0,22276.0,22112.0,22160.0
2004-08-03,22162.0,22226.0,22080.0,22132.0
2004-08-04,22132.0,22344.0,22104.0,22212.0
2004-08-05,22216.0,22364.0,22162.0,22344.0
2004-08-06,22346.0,22374.0,21988.0,22094.0
2004-08-09,22076.0,22178.0,22024.0,22138.0
2004-08-10,22136.0,22290.0,22080.0,22266.0
2004-08-11,22262.0,22286.0,22122.0,22168.0
